azurerm_aadb2c_directory,Microsoft.AzureActiveDirectory/b2cDirectories
azurerm_cosmosdb_mongo_collection,false
azurerm_cosmosdb_mongo_database,false
azurerm_cosmosdb_notebook_workspace,false
azurerm_cosmosdb_sql_container,false
azurerm_cosmosdb_sql_database,false
azurerm_cosmosdb_sql_dedicated_gateway,false
azurerm_cosmosdb_sql_function,false
azurerm_cosmosdb_sql_role_assignment,false
azurerm_cosmosdb_sql_role_definition,false
azurerm_cosmosdb_sql_stored_procedure,false
azurerm_cosmosdb_sql_trigger,false
azurerm_cosmosdb_table,false
azurerm_custom_provider,false
azurerm_dashboard,false
azurerm_dashboard_grafana,false
azurerm_data_factory,false
azurerm_data_factory_custom_dataset,false
azurerm_data_factory_data_flow,false
azurerm_data_factory_dataset_azure_blob,false
azurerm_data_factory_dataset_binary,false
azurerm_data_factory_dataset_cosmosdb_sqlapi,false
azurerm_data_factory_dataset_delimited_text,false
azurerm_data_factory_dataset_http,false
azurerm_data_factory_dataset_json,false
azurerm_data_factory_dataset_mysql,false
azurerm_data_factory_dataset_parquet,false
azurerm_data_factory_dataset_postgresql,false
azurerm_data_factory_dataset_snowflake,false
azurerm_data_factory_dataset_sql_server_table,false
azurerm_data_factory_flowlet_data_flow,false
azurerm_data_factory_integration_runtime_azure,false
azurerm_data_factory_integration_runtime_azure_ssis,false
azurerm_data_factory_integration_runtime_managed,false
azurerm_data_factory_integration_runtime_self_hosted,false
azurerm_data_factory_linked_custom_service,false
azurerm_data_factory_linked_service_azure_blob_storage,false
azurerm_data_factory_linked_service_azure_databricks,false
azurerm_data_factory_linked_service_azure_file_storage,false
azurerm_data_factory_linked_service_azure_function,false
azurerm_data_factory_linked_service_azure_search,false
azurerm_data_factory_linked_service_azure_sql_database,false
azurerm_data_factory_linked_service_azure_table_storage,false
azurerm_data_factory_linked_service_cosmosdb,false
azurerm_data_factory_linked_service_cosmosdb_mongoapi,false
azurerm_data_factory_linked_service_data_lake_storage_gen2,false
azurerm_data_factory_linked_service_key_vault,false
azurerm_data_factory_linked_service_kusto,false
azurerm_data_factory_linked_service_mysql,false
azurerm_data_factory_linked_service_odata,false
azurerm_data_factory_linked_service_odbc,false
azurerm_data_factory_linked_service_postgresql,false
azurerm_data_factory_linked_service_sftp,false
azurerm_data_factory_linked_service_snowflake,false
azurerm_data_factory_linked_service_sql_server,false
azurerm_data_factory_linked_service_synapse,false
azurerm_data_factory_linked_service_web,false
azurerm_data_factory_managed_private_endpoint,false
azurerm_data_factory_pipeline,false
azurerm_data_factory_trigger_blob_event,false
azurerm_data_factory_trigger_custom_event,false
azurerm_data_factory_trigger_schedule,false
azurerm_data_factory_trigger_tumbling_window,false
azurerm_data_protection_backup_instance_blob_storage,false
azurerm_data_protection_backup_instance_disk,false
azurerm_data_protection_backup_instance_postgresql,false
azurerm_data_protection_backup_policy_blob_storage,false
azurerm_data_protection_backup_policy_disk,false
azurerm_data_protection_backup_policy_postgresql,false
azurerm_data_protection_backup_vault,false
azurerm_data_protection_resource_guard,false
azurerm_data_share,false
azurerm_data_share_account,false
azurerm_data_share_dataset_blob_storage,false
azurerm_data_share_dataset_data_lake_gen2,false
azurerm_data_share_dataset_kusto_cluster,false
azurerm_data_share_dataset_kusto_database,false
azurerm_database_migration_project,false
azurerm_database_migration_service,false
azurerm_databox_edge_device,false
azurerm_databox_edge_order,false
azurerm_databricks_workspace,false
azurerm_databricks_workspace_customer_managed_key,false
azurerm_datadog_monitor,false
azurerm_dedicated_hardware_security_module,false
azurerm_dedicated_host,false
azurerm_dedicated_host_group,false
azurerm_dev_test_global_vm_shutdown_schedule,false
azurerm_dev_test_lab,false
azurerm_dev_test_linux_virtual_machine,false
azurerm_dev_test_policy,false
azurerm_dev_test_schedule,false
azurerm_dev_test_virtual_network,false
azurerm_dev_test_windows_virtual_machine,false
azurerm_digital_twins_endpoint_eventgrid,false
azurerm_digital_twins_endpoint_eventhub,false
azurerm_digital_twins_endpoint_servicebus,false
azurerm_digital_twins_instance,false
